ID,Locality,PricePr,Tenement building,Venue of the sale,Bedrooms,Living area,Kitchen type,Furnished,How many fireplaces?,Terrace,Terrace surface,Garden,Garden surface,Surface of the plot,Number of frontages,Swimming pool,Building condition,Type,Subtype
10166459,oostende,275000€,No,,2.0,67.0,,,,,13.0,,,,,,,apartment,
10096893,knokke-heist,3195000€,No,,3.0,140.0,USA hyper equipped,No,,Yes,,,,,2.0,,As new,apartment,
10292307,knokke,595000€,No,,2.0,94.0,,,,,,,,,,,,apartment,
10111765,knokke-heist,1850000€,No,,3.0,125.0,,,,,,,,,,,Just renovated,apartment,
10124022,knokke-heist,325000€,No,,2.0,66.0,Hyper equipped,,,Yes,,,,,2.0,,Just renovated,apartment,
10294727,knokke-heist,1090000€,No,,3.0,98.0,Hyper equipped,Yes,,Yes,,,,,2.0,,Just renovated,apartment,
9732491,heist-aan-zee,897000€,No,,3.0,81.0,,,,,,,,,,,Just renovated,apartment,
10150713,zeebrugge,229500€,No,,2.0,81.0,,No,,,8.0,,,,,,As new,apartment,
10058258,knokke,148000€,No,,1.0,,,,,,,Yes,,,4.0,,As new,apartment,
10237533,oostende,164000€,No,,1.0,,,No,,,,,,,,,,apartment,
10262295,oostende,245000€,No,,1.0,76.0,,No,,,4.0,,,,2.0,,Good,apartment,
8881494,knokke,445000€,No,,1.0,56.0,,No,,,,,,,2.0,,As new,apartment,
10211106,oostende,620000€,No,,2.0,138.0,,,,,,,,,,,,apartment,
10199823,blankenberge,235000€,No,,2.0,86.0,Installed,No,,,15.0,,,,2.0,,Good,apartment,
9911675,oostende,365000€,No,,2.0,157.0,Installed,No,,,3.0,,,,2.0,,Good,apartment,
10265065,knokke-heist,1350000€,No,,2.0,75.0,USA sei equipped,Yes,,,,,,,2.0,,Just renovated,apartment,
10079264,sint-andries,212000€,No,,2.0,,,No,,,,,,,2.0,,To renovate,apartment,
9830876,oostkamp,700000€,No,,,,,,,,,Yes,,,2.0,,Good,apartment,
10177289,middelkerke,475000€,No,,2.0,81.0,Installed,No,,Yes,,,,,2.0,,Good,apartment,
10060192,knokke,1600000€,No,,3.0,146.0,,,,Yes,,,,,,,,apartment,
9820658,oostende,185000€,No,,3.0,100.0,Sei equipped,No,,Yes,,,,,2.0,,To be done up,apartment,
10256244,de-haan,379000€,No,,2.0,98.0,Installed,No,,,,,,,2.0,,Good,apartment,
10242668,sijsele,259000€,No,,4.0,177.0,,No,,,,,,,3.0,,Good,apartment,
10124096,knokke-heist,625000€,No,,2.0,89.0,USA hyper equipped,No,,,3.0,,,,2.0,,Good,apartment,
9901974,knokke,495000€,No,,2.0,54.0,,,,,,,,,,,Just renovated,apartment,
10261739,knokke-heist,1175000€,No,,2.0,78.0,USA hyper equipped,No,,Yes,,,,,2.0,,As new,apartment,
10197976,oostende,399000€,No,,2.0,74.0,,,,Yes,,,,,,,,apartment,
10243824,knokke,1175000€,No,,2.0,76.0,Installed,No,,Yes,,Yes,,,,,As new,apartment,
10290862,sint-kruis,330000€,No,,2.0,96.0,,No,,,,,,,4.0,,Good,apartment,
10274685,zeebrugge,365000€,No,,2.0,83.0,Installed,No,,,6.0,,,,3.0,,Good,apartment,
10305016,loppem,369000€,No,,2.0,105.0,Installed,No,,Yes,,,,,2.0,,Good,apartment,
10254117,duinbergen,790000€,No,,3.0,113.0,,No,,,,,,,,,To renovate,apartment,
9634822,ichtegem,258500€,No,,2.0,,,No,,,,,,,2.0,,Good,apartment,
10250846,knokke,675000€,No,,2.0,55.0,Hyper equipped,Yes,,,,,,,2.0,,As new,apartment,
10094379,torhout,349000€,No,,2.0,,Installed,No,,Yes,,Yes,,,2.0,,,apartment,
10307814,blankenberge,329500€,No,,2.0,83.0,Installed,No,,,7.0,,,,2.0,,,apartment,
10031294,middelkerke,155500€,No,,1.0,35.0,,,,Yes,,,,,2.0,,As new,apartment,
9801385,oostende,249000€,No,,2.0,90.0,Installed,,,,7.0,Yes,,,,,,apartment,
10160277,knokke-heist,795000€,No,,2.0,74.0,Hyper equipped,,,Yes,,,,,2.0,,Good,apartment,
9486044,knokke-heist,4600000€,No,,3.0,163.0,,No,,,17.0,Yes,,,,,,apartment,
10250673,knokke-heist,1350000€,No,,2.0,,USA hyper equipped,No,,,,,,,2.0,,Just renovated,apartment,
10085081,brugge,390000€,No,,2.0,140.0,Hyper equipped,No,,,21.0,,,,,,As new,apartment,
10135959,oostende,175000€,No,,2.0,80.0,Installed,No,,,,,,,2.0,,Good,apartment,
10307709,blankenberge,235000€,No,,1.0,54.0,Installed,Yes,,Yes,,,,,2.0,,Good,apartment,
10256693,knokke,1250000€,No,,4.0,,,No,,,,Yes,,,,,,apartment,
10081535,oostende,375000€,No,,2.0,,,No,,,,,,,2.0,,As new,apartment,
10284969,knokke-heist,675000€,No,,2.0,62.0,USA hyper equipped,,,,,,,,2.0,,Just renovated,apartment,
10031753,sint-michiels,418000€,No,,2.0,110.0,Installed,No,,,15.0,,,,2.0,,As new,apartment,
10300457,knokke-heist,1070000€,No,,3.0,145.0,,No,,,,,,,2.0,,Good,apartment,
9917596,middelkerke,425000€,No,,2.0,92.0,Installed,No,,,9.0,,,,2.0,,,apartment,
9957676,blankenberge,256500€,No,,1.0,67.0,,No,,Yes,,,,,,,,apartment,
10291827,blankenberge,139000€,No,,1.0,52.0,,Yes,,,,,,,,,To be done up,apartment,
10307721,blankenberge,295000€,No,,2.0,77.0,Installed,No,,Yes,,,,,2.0,,,apartment,
9898283,bredene,279000€,No,,2.0,90.0,Installed,,,,,,,,,,,apartment,
10248682,knokke-heist,1395000€,No,,2.0,84.0,USA hyper equipped,No,,Yes,,,100.0,,2.0,,Good,apartment,
10237357,oostende,865000€,No,,2.0,85.0,,Yes,,Yes,,,,,,,,apartment,
10274664,knokke-heist,599000€,No,,3.0,78.0,,Yes,,,,Yes,,,,,Just renovated,apartment,
10307845,blankenberge,287000€,No,,1.0,80.0,Installed,No,,,7.0,,,,2.0,,,apartment,
10232826,oostende,259000€,No,,2.0,68.0,Installed,,,Yes,,,,,,,,apartment,
